SubPartidas Arancelarias,Descripción del producto
090411,pimienta sin triturar ni pulverizar
090412,pimienta triturada o pulverizada.
090420,"pimientos secos, triturados o pulverizados (pimenton)."
090500,vainilla.
090610,"canela y flores del canelero, sin triturar ni pulverizar."
090611,Canela y flores de canelero : Sin triturar ni pulverizar : Canela (Cinnamomum zeylanicum B
090619,Canela y flores de canelero : Sin triturar ni pulverizar : Las demás
090620,"canela y flores de canelero, triturados o pulverizados."
090700,"clavo (frutos, clavillos y pedunculos)."
090810,nuez moscada.
090820,macis.
090830,amomos y cardamomos.
090910,semillas de anis o badiana
090920,semillas de cilantro.
090930,semillas de comino
090940,semillas de alcaravea
090950,semillas de hinojo o enebro
091010,jengibre
091020,azafran
091030,curcuma
091040,tomillo; hojas de laurel
091050,curry
091091,"las demas mezclas de especias, provistas en la nota 1b del capitulo 09"
091099,las demas especias
100110,trigo duro
100190,los demas trigo y morcajo o tranquillon
100200,centeno.
100300,cebada
100400,avena
100510,semillas de maiz (zea mays l.)
100590,los demas maices
100610,arroz con cascara. (arroz paddy).
100620,arroz descascarillado (arroz cargo o arroz pardo)
100630,"arroz semiblanqueado o blanqueado, incluso pulido o glaseado"
100640,arroz partido.
100700,sorgo para grano.
100810,alforfon.
100820,mijo.
100830,alpiste.
100890,los demas cereales
110100,harina de trigo y de morcajo o tranquillon
110210,harina de centeno.
110220,harina de maiz.
110230,harina de arroz.
110290,"las demas harinas de cereales, excepto de trigo o de morcajo o tranqui"
110311,"granones y semola, de trigo."
110312,grañones y semola de avena
110313,grañones y semola de maiz
110314,"granones y semola, de arroz."
110319,"granones y semola de los demas cereales. excepto trigo, avena, maiz y"
110320,«Pellets»
110321,pellets de trigo.
110329,pellets de los demas cereales; excepto de trigo.
110411,granos aplastados o en copos de cebada.
110412,granos aplastados o en copos de avena
110419,"granos de los demas cereales, excepto cebada y avena, aplastados o en"
110421,"granos de cebada, mondados, perlados, troceados o triturados."
110422,"avena en grano (mondados, perlados, troceados o triturados)"
110423,"granos de maiz, mondados, perlados, troceados o triturados."
110429,"granos trabajados de los demas cereales, excepto cebada, avena y maiz"
110430,"germen de cereales enteros, aplastados, en copos o molidos."
110510,harina y semola de patatas. (papas)
110520,"patatas (papas), en copos"
110610,harina y semola de las legumbres secas de la partida 07.13
110620,harina y semola de sagu o de las raices o tuberculos de la partida 07.
110630,"harina, semola y polvo de los productos del capitulo 08."
110710,"malta, sin tostar"
110720,malta tostada
110811,almidon de trigo.
110812,almidon de maiz
110813,fecula de patatas (papas).
110814,fecula de mandioca.
110819,los demas almidones y feculas.
110820,inulina.
110900,"gluten de trigo, incluso seco"
120100,"habas de soja, incluso quebrantadas."
120210,"cacahuates o manies, crudos, con cascara."
120220,"cacahuates o manies, crudos, sin cascara, incluso quebrantados."
120300,copra.
120400,semillas de lino incluso quebrantada.
120500,"semilla de navo o de colza, incluso quebrantada."
